#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
65.632,-0.58678,0.10743,-1.4255,10.06,0.40661,0.01726,0.97453,-4.5921
66.002,-0.58343,0.072754,-1.4248,10.092,0.34776,0.059327,0.97272,-4.75
66.371,-0.5804,0.035569,-1.4244,10.107,0.38231,-0.21268,0.99705,-4.7393
66.747,-0.5775,0.014092,-1.4242,10.131,0.41108,-0.08902,0.6988,-4.6226
67.136,-0.57447,0.01492,-1.4241,10.163,0.39388,0.062696,0.73464,-4.6268
67.518,-0.57163,0.0014453,-1.424,10.19,0.35808,-0.22215,0.99386,-4.6821
67.894,-0.56904,-0.019903,-1.4241,10.207,0.32003,-0.13649,0.84115,-4.6038
68.276,-0.56649,-0.031446,-1.4243,10.214,0.38398,-0.11168,0.93354,-4.6729
68.651,-0.5642,-0.054362,-1.4246,10.238,0.40148,0.13382,0.81369,-4.7234
69.026,-0.56214,-0.081409,-1.4252,10.266,0.3244,-0.021765,0.85668,-4.6222
69.403,-0.56024,-0.10271,-1.4259,10.273,0.36739,-0.23951,0.92621,-4.7044
69.784,-0.55844,-0.11645,-1.4268,10.292,0.36044,-0.20673,0.87217,-4.7687
70.167,-0.5567,-0.12676,-1.4278,10.309,0.35617,-0.0086552,0.90302,-4.5464
70.542,-0.55527,-0.15428,-1.4289,10.325,0.37827,-0.1103,0.79547,-4.6098
70.926,-0.55383,-0.16359,-1.4302,10.346,0.32251,-0.019933,0.88974,-4.7545
71.303,-0.55268,-0.18864,-1.4316,10.352,0.39302,-0.014354,0.8194,-4.7527
71.684,-0.55164,-0.20675,-1.4331,10.378,0.3314,0.14611,0.72631,-4.6761
72.065,-0.55076,-0.22618,-1.4349,10.386,0.40944,0.24353,0.69597,-4.7122
72.445,-0.55007,-0.24897,-1.4368,10.415,0.3691,-0.1245,0.71765,-4.6299
72.837,-0.54929,-0.24925,-1.4388,10.434,0.3545,0.0026051,0.75871,-4.5646
73.222,-0.54868,-0.26263,-1.4408,10.448,0.37517,0.11586,0.98376,-4.7276
73.592,-0.54859,-0.30681,-1.4431,10.467,0.35983,-0.13444,0.80075,-4.6837
73.981,-0.54838,-0.31486,-1.4456,10.483,0.37951,-0.10697,0.73535,-4.6351
74.374,-0.54817,-0.31804,-1.4481,10.503,0.40102,0.011919,0.90697,-4.7557
74.753,-0.54832,-0.34692,-1.4508,10.53,0.33626,-0.02015,0.93667,-4.6015
75.134,-0.54871,-0.3769,-1.4537,10.538,0.33003,-0.062496,0.70409,-4.7062
75.529,-0.54898,-0.37936,-1.4567,10.545,0.41043,0.23194,0.79172,-4.6271
75.911,-0.54963,-0.41101,-1.4599,10.573,0.37014,-0.184,0.7951,-4.6815
76.307,-0.55019,-0.41455,-1.4632,10.591,0.37169,0.0071858,0.89368,-4.7789
76.692,-0.55106,-0.44103,-1.4666,10.608,0.34542,-0.1808,0.80568,-4.6444
77.089,-0.55186,-0.44569,-1.4701,10.618,0.3899,-0.11586,0.95087,-4.5482
77.478,-0.55295,-0.46998,-1.4738,10.641,0.35371,-0.029736,0.81267,-4.7763
77.872,-0.5541,-0.485,-1.4776,10.653,0.35249,-0.2064,0.69914,-4.5816
78.279,-0.55506,-0.47643,-1.4815,10.665,0.35304,0.22991,0.79427,-4.6168
78.669,-0.55643,-0.50719,-1.4854,10.677,0.35149,0.016211,0.98786,-4.6591
79.055,-0.55814,-0.54331,-1.4896,10.688,0.32917,-0.19589,0.80077,-4.5621
79.461,-0.55967,-0.54543,-1.494,10.693,0.33611,-0.034411,1.0104,-4.5941
79.85,-0.56164,-0.58011,-1.4985,10.7,0.31866,-0.20991,1.0247,-4.6085
80.246,-0.56375,-0.60403,-1.5032,10.702,0.33341,-0.12826,0.91592,-4.7497
80.647,-0.56594,-0.62151,-1.5081,10.709,0.36329,0.017052,0.95448,-4.5759
81.043,-0.56843,-0.65291,-1.5132,10.723,0.36654,-0.16704,0.84908,-4.7195
81.452,-0.57086,-0.66016,-1.5184,10.738,0.37727,0.19897,0.81738,-4.698
81.853,-0.57358,-0.68865,-1.5238,10.756,0.401,-0.021113,0.84071,-4.6892
82.262,-0.57636,-0.70429,-1.5294,10.78,0.38331,-0.037064,0.90989,-4.6622
