#for_spe,AofA,pit_rate,pitch,throt,com_thr,diff_ele,sym_ele,sym_flap
9380.2,-0.65239,0.21706,-4.4104,13,0.30091,0.0012688,0.70805,-3.8367
9380.3,-0.65292,0.23457,-4.4086,12.979,0.29002,-0.024059,0.71678,-4.047
9380.5,-0.65331,0.2533,-4.4066,12.955,0.43437,-0.010717,1.0391,-5.7117
9380.6,-0.65401,0.24094,-4.4047,12.971,0.35572,0.02649,0.80306,-4.1904
9380.8,-0.6545,0.24763,-4.4027,12.965,0.42053,0.077416,0.88674,-4.3174
9381,-0.65509,0.24244,-4.4007,12.977,0.29005,-0.0146,0.70399,-3.9167
9381.1,-0.6554,0.26177,-4.3987,12.953,0.41663,0.0063862,0.97404,-5.2482
9381.3,-0.65593,0.25425,-4.3967,12.964,0.43094,0.066432,0.92622,-4.6024
9381.4,-0.65651,0.24638,-4.3947,12.979,0.4335,0.00067837,1.0216,-5.5431
9381.6,-0.65723,0.23509,-4.3927,12.995,0.44641,0.046011,0.99044,-5.0825
9381.7,-0.65802,0.22313,-4.3909,13.014,0.35996,-0.076723,0.95331,-5.67
9381.9,-0.65875,0.22471,-4.3891,13.009,0.40058,-0.0026666,0.9485,-5.1677
9382.1,-0.65951,0.2208,-4.3873,13.015,0.34462,0.01125,0.79758,-4.2587
9382.2,-0.66011,0.22988,-4.3855,13.006,0.34028,-0.035037,0.85025,-4.8423
9382.4,-0.66066,0.23784,-4.3837,12.996,0.30409,0.01271,0.7,-3.7194
9382.5,-0.66098,0.25591,-4.3817,12.976,0.49798,0.070619,1.0787,-5.4033
9382.7,-0.66173,0.23404,-4.3797,13.009,0.29878,0.01916,0.67872,-3.5624
9382.8,-0.66204,0.2537,-4.3778,12.987,0.36198,-0.029701,0.89416,-5.0465
9383,-0.66246,0.25723,-4.3757,12.983,0.39876,-0.052245,1.0116,-5.829
9383.1,-0.66299,0.25171,-4.3737,12.989,0.25892,-0.058927,0.6908,-4.1301
9383.3,-0.66312,0.27662,-4.3716,12.956,0.36669,-0.031382,0.90758,-5.1301
9383.5,-0.66336,0.27905,-4.3694,12.954,0.30116,-0.0014393,0.71231,-3.8773
9383.6,-0.66335,0.29722,-4.367,12.933,0.49434,0.058772,1.0862,-5.5202
9383.8,-0.66376,0.27567,-4.3648,12.966,0.33248,-0.048984,0.8508,-4.935
9383.9,-0.66391,0.28487,-4.3625,12.954,0.33395,0.0047135,0.7813,-4.2123
9384.1,-0.66395,0.29615,-4.3602,12.942,0.34243,0.048441,0.74188,-3.7171
9384.2,-0.66388,0.30751,-4.3578,12.933,0.27916,-0.022048,0.68841,-3.88
9384.4,-0.66358,0.32949,-4.3552,12.906,0.35905,-0.094397,0.97516,-5.9024
9384.5,-0.66346,0.33056,-4.3526,12.902,0.55124,0.1119,1.1482,-5.5154
9384.7,-0.66373,0.2988,-4.3501,12.951,0.34998,-0.035379,0.87359,-4.9713
9384.8,-0.66375,0.30468,-4.3477,12.943,0.40416,0.081595,0.84243,-4.0499
9385,-0.66378,0.30394,-4.3452,12.951,0.25994,-0.03587,0.66186,-3.8247
9385.1,-0.66347,0.32952,-4.3427,12.919,0.2834,-0.043344,0.72736,-4.2284
9385.3,-0.66304,0.34947,-4.34,12.894,0.28464,-0.045472,0.73318,-4.2737
9385.4,-0.66247,0.36893,-4.3371,12.869,0.2825,-0.08709,0.78468,-4.821
9385.6,-0.66178,0.38682,-4.3341,12.844,0.27227,-0.075126,0.7443,-4.5248
